Nomenclador de Actividades IIBB 2018 Anexo II,,,
"CódigoNAIIB99",Descripción NAIIB 99,"CódigoNAIIB2018",Descripción NAIIB 2018
012290,"CRÍA DE ANIMALES Y OBTENCIÓN DE PRODUCTOS DE ORIGEN ANIMAL, N.C.P.",014920,Cunicultura
012290,"CRÍA DE ANIMALES Y OBTENCIÓN DE PRODUCTOS DE ORIGEN ANIMAL, N.C.P.",014990,"Cría de animales y obtención de productos de origen animal, n.c.p."
014110,"SERVICIOS DE MAQUINARIA AGRÍCOLA, EXCEPTO LOS DE COSECHA MECÁNICA",016111,"Servicios de labranza, siembra, transplante y cuidados culturales"
014110,"SERVICIOS DE MAQUINARIA AGRÍCOLA, EXCEPTO LOS DE COSECHA MECÁNICA",016112,"Servicios de pulverización, desinfección y fumigación terrestre"
014110,"SERVICIOS DE MAQUINARIA AGRÍCOLA, EXCEPTO LOS DE COSECHA MECÁNICA",016113,"Servicios de pulverización, desinfección y fumigación aérea"
014110,"SERVICIOS DE MAQUINARIA AGRÍCOLA, EXCEPTO LOS DE COSECHA MECÁNICA",016119,"Servicios de maquinaria agrícola n.c.p., excepto los de cosecha mecánica"
014120,SERVICIOS DE COSECHA MECÁNICA,016120,Servicios de cosecha mecánica
014130,SERVICIOS DE CONTRATISTAS DE MANO DE OBRA AGRÍCOLA,016130,Servicios de contratistas de mano de obra agrícola
014190,SERVICIOS AGRÍCOLAS N.C.P,016141,Servicios de frío y refrigerado
014190,SERVICIOS AGRÍCOLAS N.C.P,016149,Otros servicios de post cosecha
014190,SERVICIOS AGRÍCOLAS N.C.P,016150,Servicios de procesamiento de semillas para su siembra
014190,SERVICIOS AGRÍCOLAS N.C.P,016190,Servicios de apoyo agrícolas n.c.p
014190,SERVICIOS AGRÍCOLAS N.C.P,813000,Servicios de jardinería y mantenimiento de espacios verdes
014210,"INSEMINACION ARTIFICIAL Y SERVICIOS N.C.P. PARA MEJORAR LA REPRODUCCION DE LOSANIMALES Y EL RENDIMIENTO DE SUS PRODUCTOS",016210,"Inseminación artificial y servicios n.c.p. para mejorar la reproducción de los animales y elrendimiento de sus productos"
014220,SERVICIOS DE CONTRATISTAS DE MANO DE OBRA PECUARIA,016220,Servicios de contratistas de mano de obra pecuaria
014220,SERVICIOS DE CONTRATISTAS DE MANO DE OBRA PECUARIA,016230,Servicios de esquila de animales
014290,SERVICIOS PECUARIOS N.C.P.,016291,"Servicios para el control de plagas, baños parasiticidas, etc."
014290,SERVICIOS PECUARIOS N.C.P.,016292,Albergue y cuidado de animales de terceros
014290,SERVICIOS PECUARIOS N.C.P.,016299,Servicios de apoyo pecuarios n.c.p.
015010,CAZA  Y REPOBLACIÓN  DE ANIMALES DE CAZA,017010,Caza y repoblación de animales de caza
015020,SERVICIOS PARA LA CAZA,017020,Servicios de apoyo para la caza
020110,PLANTACIÓN DE BOSQUES,021010,Plantación de bosques
020120,REPOBLACIÓN Y CONSERVACIÓN DE BOSQUES NATIVOS Y ZONAS FORESTADAS,021020,Repoblación y conservación de bosques nativos y zonas forestadas
020130,EXPLOTACIÓN DE VIVEROS FORESTALES,021030,Explotación de viveros forestales
020210,EXTRACCIÓN DE PRODUCTOS FORESTALES DE BOSQUES CULTIVADOS,022010,Extracción de productos forestales de bosques cultivados
020220,EXTRACCIÓN DE PRODUCTOS FORESTALES DE BOSQUES NATIVOS,022020,Extracción de productos forestales de bosques nativos
020310,SERVICIOS FORESTALES DE EXTRACCIÓN DE MADERA,024010,Servicios forestales para la extracción de madera
020390,SERVICIOS FORESTALES EXCEPTO LOS RELACIONADOS CON LA EXTRACCIÓN DE MADERA,024020,Servicios forestales excepto los servicios para la extracción de madera
050110,"PESCA MARÍTIMA, COSTERA Y DE ALTURA",031110,Pesca de organismos marinos; excepto cuando es realizada en buques procesadores
050110,"PESCA MARÍTIMA, COSTERA Y DE ALTURA",031120,Pesca y elaboración de productos marinos realizada a bordo de buques procesadores
Nomenclador de Actividades IIBB 2018 Anexo II,,,
"CódigoNAIIB99",Descripción NAIIB 99,"CódigoNAIIB2018",Descripción NAIIB 2018
050120,PESCA CONTINENTAL: FLUVIAL Y LACUSTRE,031200,Pesca continental: fluvial y lacustre
050130,RECOLECCIÓN DE PRODUCTOS MARINOS,031130,"Recolección de organismos marinos excepto peces, crustáceos y moluscos"
050200,"EXPLOTACIÓN DE CRIADEROS DE PECES, GRANJAS PISCÍCOLAS Y OTROS FRUTOS ACUATICOS",032000,"Explotación de criaderos de peces, granjas piscícolas y otros frutos acuáticos (acuicultura)"
050300,SERVICIOS PARA LA PESCA,031300,Servicios de apoyo para la pesca
101000,EXTRACCIÓN Y AGLOMERACIÓN DE CARBÓN,051000,Extracción y aglomeración de carbón
101000,EXTRACCIÓN Y AGLOMERACIÓN DE CARBÓN,099000,"Servicios de apoyo para la minería, excepto para la extracción de petróleo y gas natural"
102000,EXTRACCIÓN Y AGLOMERACIÓN DE LIGNITO,052000,Extracción y aglomeración de lignito
102000,EXTRACCIÓN Y AGLOMERACIÓN DE LIGNITO,099000,"Servicios de apoyo para la minería, excepto para la extracción de petróleo y gas natural"
103000,EXTRACCIÓN Y AGLOMERACIÓN DE TURBA,089200,Extracción y aglomeración de turba
103000,EXTRACCIÓN Y AGLOMERACIÓN DE TURBA,099000,"Servicios de apoyo para la minería, excepto para la extracción de petróleo y gas natural"
111000,EXTRACCIÓN DE PETRÓLEO CRUDO Y GAS NATURAL,061000,Extracción de petróleo crudo
111000,EXTRACCIÓN DE PETRÓLEO CRUDO Y GAS NATURAL,062000,Extracción de gas natural
112000,"ACTIVIDADES  DE SERVICIOS RELACIONADAS CON LA EXTRACCIÓN DE PETRÓLEO Y GAS EXCEPTOLA PROSPECCION",091000,Actividades de servicios relacionadas con la extracción de petróleo y gas
120000,EXTRACCIÓN DE MINERALES Y CONCENTRADOS DE URANIO Y TORIO,072100,Extracción de minerales y concentrados de uranio y torio
120000,EXTRACCIÓN DE MINERALES Y CONCENTRADOS DE URANIO Y TORIO,099000,"Servicios de apoyo para la minería, excepto para la extracción de petróleo y gas natural"
131000,EXTRACCIÓN DE MINERALES DE HIERRO,071000,Extracción de minerales de hierro
131000,EXTRACCIÓN DE MINERALES DE HIERRO,099000,"Servicios de apoyo para la minería, excepto para la extracción de petróleo y gas natural"
132000,"EXTRACCIÓN DE MINERALES METALÍFEROS NO FERROSOS, EXCEPTO MINERALES DE URANIO YTORIO",072910,Extracción de metales preciosos
132000,"EXTRACCIÓN DE MINERALES METALÍFEROS NO FERROSOS, EXCEPTO MINERALES DE URANIO YTORIO",072990,"Extracción de minerales metalíferos no ferrosos n.c.p., excepto minerales de uranio y torio"
132000,"EXTRACCIÓN DE MINERALES METALÍFEROS NO FERROSOS, EXCEPTO MINERALES DE URANIO YTORIO",099000,"Servicios de apoyo para la minería, excepto para la extracción de petróleo y gas natural"
141100,EXTRACCIÓN DE ROCAS ORNAMENTALES,081100,Extracción de rocas ornamentales
141100,EXTRACCIÓN DE ROCAS ORNAMENTALES,099000,"Servicios de apoyo para la minería, excepto para la extracción de petróleo y gas natural"
141200,EXTRACCIÓN DE PIEDRA CALIZA Y YESO,081200,Extracción de piedra caliza y yeso
141200,EXTRACCIÓN DE PIEDRA CALIZA Y YESO,099000,"Servicios de apoyo para la minería, excepto para la extracción de petróleo y gas natural"
Nomenclador de Actividades IIBB 2018 Anexo II,,,
"CódigoNAIIB99",Descripción NAIIB 99,"CódigoNAIIB2018",Descripción NAIIB 2018
141300,"EXTRACCIÓN DE ARENAS, CANTO RODADO Y TRITURADOS PÉTREOS",081300,"Extracción de arenas, canto rodado y triturados pétreos"
141300,"EXTRACCIÓN DE ARENAS, CANTO RODADO Y TRITURADOS PÉTREOS",099000,"Servicios de apoyo para la minería, excepto para la extracción de petróleo y gas natural"
141400,EXTRACCIÓN DE ARCILLA Y CAOLÍN,081400,Extracción de arcilla y caolín
141400,EXTRACCIÓN DE ARCILLA Y CAOLÍN,099000,"Servicios de apoyo para la minería, excepto para la extracción de petróleo y gas natural"
142110,EXTRACCIÓN DE MINERALES PARA LA FABRICACIÓN DE ABONOS EXCEPTO TURBA,089110,Extracción de minerales para la fabricación de abonos excepto turba
142110,EXTRACCIÓN DE MINERALES PARA LA FABRICACIÓN DE ABONOS EXCEPTO TURBA,099000,"Servicios de apoyo para la minería, excepto para la extracción de petróleo y gas natural"
142120,EXTRACCIÓN DE MINERALES PARA LA FABRICACIÓN DE PRODUCTOS QUÍMICOS,089120,Extracción de minerales para la fabricación de productos químicos
142120,EXTRACCIÓN DE MINERALES PARA LA FABRICACIÓN DE PRODUCTOS QUÍMICOS,099000,"Servicios de apoyo para la minería, excepto para la extracción de petróleo y gas natural"
142200,EXTRACCIÓN DE SAL EN SALINAS Y DE ROCA,089300,Extracción de sal
142900,EXPLOTACIÓN DE MINAS Y CANTERAS N.C.P.,089900,Explotación de minas y canteras n.c.p.
142900,EXPLOTACIÓN DE MINAS Y CANTERAS N.C.P.,099000,"Servicios de apoyo para la minería, excepto para la extracción de petróleo y gas natural"
151110,MATANZA DE GANADO BOVINO Y PROCESAMIENTO DE SU CARNE,101011,Matanza de ganado bovino
151110,MATANZA DE GANADO BOVINO Y PROCESAMIENTO DE SU CARNE,101012,Procesamiento de carne de ganado bovino
151110,MATANZA DE GANADO BOVINO Y PROCESAMIENTO DE SU CARNE,109001,Servicios industriales para la elaboración de alimentos obtenido de ganado bovino
151120,PRODUCCIÓN Y PROCESAMIENTO DE CARNE DE AVES,101020,Producción y procesamiento de carne de aves
151120,PRODUCCIÓN Y PROCESAMIENTO DE CARNE DE AVES,109009,Servicios industriales para la elaboración de alimentos y bebidas n.c.p.
151130,ELABORACIÓN DE FIAMBRES Y EMBUTIDOS,101030,Elaboración de fiambres y embutidos
151130,ELABORACIÓN DE FIAMBRES Y EMBUTIDOS,109009,Servicios industriales para la elaboración de alimentos y bebidas n.c.p.
151140,MATANZA  DE GANADO EXCEPTO EL BOVINO Y PROCESAMIENTO DE SU CARNE,101040,Matanza de ganado excepto el bovino y procesamiento de su carne
151140,MATANZA  DE GANADO EXCEPTO EL BOVINO Y PROCESAMIENTO DE SU CARNE,109009,Servicios industriales para la elaboración de alimentos y bebidas n.c.p.
151190,"MATANZA DE ANIMALES N.C.P. Y PROCESAMIENTO DE SU CARNE; ELABORACION DESUBPRODUCTOS CARNICOS N.C.P.",101013,Saladero y peladero de cueros de ganado bovino
151190,"MATANZA DE ANIMALES N.C.P. Y PROCESAMIENTO DE SU CARNE; ELABORACION DESUBPRODUCTOS CARNICOS N.C.P.",101091,Fabricación de aceites y grasas de origen animal
151190,"MATANZA DE ANIMALES N.C.P. Y PROCESAMIENTO DE SU CARNE; ELABORACION DESUBPRODUCTOS CARNICOS N.C.P.",101099,"Matanza de animales n.c.p. y procesamiento de su carne; elaboración de subproductos cárnicosn.c.p."
151190,"MATANZA DE ANIMALES N.C.P. Y PROCESAMIENTO DE SU CARNE; ELABORACION DESUBPRODUCTOS CARNICOS N.C.P.",109009,Servicios industriales para la elaboración de alimentos y bebidas n.c.p.
151200,ELABORACIÓN DE PESCADO Y PRODUCTOS DE PESCADO,102001,"Elaboración de pescados de mar, crustáceos y productos marinos"
151200,ELABORACIÓN DE PESCADO Y PRODUCTOS DE PESCADO,102002,Elaboración de pescados de ríos y lagunas y otros productos fluviales y lacustres
Nomenclador de Actividades IIBB 2018 Anexo II,,,
"CódigoNAIIB99",Descripción NAIIB 99,"CódigoNAIIB2018",Descripción NAIIB 2018
151200,ELABORACIÓN DE PESCADO Y PRODUCTOS DE PESCADO,102003,"Fabricación de aceites, grasas, harinas y productos a base de pescados"
151200,ELABORACIÓN DE PESCADO Y PRODUCTOS DE PESCADO,109009,Servicios industriales para la elaboración de alimentos y bebidas n.c.p.
151310,"PREPARACIÓN DE CONSERVAS DE FRUTAS, HORTALIZAS Y LEGUMBRES",103011,"Preparación de conservas de frutas, hortalizas y legumbres"
151310,"PREPARACIÓN DE CONSERVAS DE FRUTAS, HORTALIZAS Y LEGUMBRES",109009,Servicios industriales para la elaboración de alimentos y bebidas n.c.p.
151320,"ELABORACIÓN DE JUGOS NATURALES Y SUS CONCENTRADOS, DE FRUTAS, HORTALIZAS YLEGUMBRES",103020,"Elaboración de jugos naturales y sus concentrados, de frutas, hortalizas y legumbres"
151320,"ELABORACIÓN DE JUGOS NATURALES Y SUS CONCENTRADOS, DE FRUTAS, HORTALIZAS YLEGUMBRES",109009,Servicios industriales para la elaboración de alimentos y bebidas n.c.p.
151330,"ELABORACIÓN DE PULPAS, JALEAS, DULCES Y MERMELADAS",103012,"Elaboración y envasado de dulces, mermeladas y jaleas"
151330,"ELABORACIÓN DE PULPAS, JALEAS, DULCES Y MERMELADAS",109009,Servicios industriales para la elaboración de alimentos y bebidas n.c.p.
151340,"ELABORACIÓN DE FRUTAS, HORTALIZAS Y LEGUMBRES CONGELADAS",103030,"Elaboración de frutas, hortalizas y legumbres congeladas"
151340,"ELABORACIÓN DE FRUTAS, HORTALIZAS Y LEGUMBRES CONGELADAS",109009,Servicios industriales para la elaboración de alimentos y bebidas n.c.p.
151390,"ELABORACIÓN DE FRUTAS, HORTALIZAS Y LEGUMBRES DESHIDRATADAS O DESECADAS;PREPARACIÓN N.C.P. DE FRUTAS, HORTALIZAS Y LEGUMBRES",103091,"Elaboración de hortalizas y legumbres deshidratadas o desecadas; preparación n.c.p. dehortalizas y legumbres"
151390,"ELABORACIÓN DE FRUTAS, HORTALIZAS Y LEGUMBRES DESHIDRATADAS O DESECADAS;PREPARACIÓN N.C.P. DE FRUTAS, HORTALIZAS Y LEGUMBRES",103099,Elaboración de frutas deshidratadas o desecadas; preparación n.c.p. de frutas
151390,"ELABORACIÓN DE FRUTAS, HORTALIZAS Y LEGUMBRES DESHIDRATADAS O DESECADAS;PREPARACIÓN N.C.P. DE FRUTAS, HORTALIZAS Y LEGUMBRES",109009,Servicios industriales para la elaboración de alimentos y bebidas n.c.p.
151411,"ELABORACION DE ACEITES Y GRASAS VEGETALES COMESTIBLES SIN REFINAR Y SUSSUBPRODUCTOS; ELABORACION DE ACEITE VIRGEN",104011,Elaboración de aceites y grasas vegetales sin refinar
151411,"ELABORACION DE ACEITES Y GRASAS VEGETALES COMESTIBLES SIN REFINAR Y SUSSUBPRODUCTOS; ELABORACION DE ACEITE VIRGEN",104012,Elaboración de aceite de oliva
151411,"ELABORACION DE ACEITES Y GRASAS VEGETALES COMESTIBLES SIN REFINAR Y SUSSUBPRODUCTOS; ELABORACION DE ACEITE VIRGEN",109009,Servicios industriales para la elaboración de alimentos y bebidas n.c.p.
151412,"ELABORACION DE ACEITES Y GRASAS VEGETALES DE USO INDUSTRIAL SIN REFINAR Y SUSSUBPRODUCTOS; ELABORACION DE ACEITE VIRGEN",104011,Elaboración de aceites y grasas vegetales sin refinar
151412,"ELABORACION DE ACEITES Y GRASAS VEGETALES DE USO INDUSTRIAL SIN REFINAR Y SUSSUBPRODUCTOS; ELABORACION DE ACEITE VIRGEN",109009,Servicios industriales para la elaboración de alimentos y bebidas n.c.p.
151421,ELABORACION DE ACEITES Y GRASAS VEGETALES COMESTIBLES REFINADAS,104012,Elaboración de aceite de oliva
151421,ELABORACION DE ACEITES Y GRASAS VEGETALES COMESTIBLES REFINADAS,104013,Elaboración de aceites y grasas vegetales refinados
151421,ELABORACION DE ACEITES Y GRASAS VEGETALES COMESTIBLES REFINADAS,109009,Servicios industriales para la elaboración de alimentos y bebidas n.c.p.
151422,ELABORACION DE ACEITES Y GRASAS VEGETALES DE USO INDUSTRIAL REFINADAS,104013,Elaboración de aceites y grasas vegetales refinados
151422,ELABORACION DE ACEITES Y GRASAS VEGETALES DE USO INDUSTRIAL REFINADAS,109009,Servicios industriales para la elaboración de alimentos y bebidas n.c.p.
151430,ELABORACION DE MARGARINAS Y GRASAS VEGETALES COMESTIBLES SIMILARES,104020,Elaboración de margarinas y grasas vegetales comestibles similares
151430,ELABORACION DE MARGARINAS Y GRASAS VEGETALES COMESTIBLES SIMILARES,109009,Servicios industriales para la elaboración de alimentos y bebidas n.c.p.
152010,ELABORACIÓN DE LECHES Y PRODUCTOS LÁCTEOS DESHIDRATADOS,105010,Elaboración de leches y productos lácteos deshidratados
Nomenclador de Actividades IIBB 2018 Anexo II,,,
"CódigoNAIIB99",Descripción NAIIB 99,"CódigoNAIIB2018",Descripción NAIIB 2018
152010,ELABORACIÓN DE LECHES Y PRODUCTOS LÁCTEOS DESHIDRATADOS,109009,Servicios industriales para la elaboración de alimentos y bebidas n.c.p.
152020,ELABORACIÓN DE QUESOS,105020,Elaboración de quesos
152020,ELABORACIÓN DE QUESOS,109009,Servicios industriales para la elaboración de alimentos y bebidas n.c.p.
152030,ELABORACIÓN INDUSTRIAL DE HELADOS,105030,Elaboración industrial de helados
152030,ELABORACIÓN INDUSTRIAL DE HELADOS,109009,Servicios industriales para la elaboración de alimentos y bebidas n.c.p.
152090,ELABORACIÓN DE PRODUCTOS LÁCTEOS N.C.P.,105090,Elaboración de productos lácteos n.c.p.
152090,ELABORACIÓN DE PRODUCTOS LÁCTEOS N.C.P.,109009,Servicios industriales para la elaboración de alimentos y bebidas n.c.p.
153110,MOLIENDA DE TRIGO,106110,Molienda de trigo
153110,MOLIENDA DE TRIGO,109009,Servicios industriales para la elaboración de alimentos y bebidas n.c.p.
153120,PREPARACIÓN DE ARROZ,106120,Preparación de arroz
153120,PREPARACIÓN DE ARROZ,109009,Servicios industriales para la elaboración de alimentos y bebidas n.c.p.
153130,PREPARACIÓN Y MOLIENDA DE LEGUMBRES Y CEREALES -EXCEPTO TRIGO-,106131,Elaboración de alimentos a base de cereales
153130,PREPARACIÓN Y MOLIENDA DE LEGUMBRES Y CEREALES -EXCEPTO TRIGO-,106139,"Preparación y molienda de legumbres y cereales n.c.p., excepto trigo y arroz y molienda húmedade maíz"
153130,PREPARACIÓN Y MOLIENDA DE LEGUMBRES Y CEREALES -EXCEPTO TRIGO-,109009,Servicios industriales para la elaboración de alimentos y bebidas n.c.p.
153200,ELABORACIÓN DE ALMIDONES Y PRODUCTOS DERIVADOS DEL ALMIDÓN,106200,Elaboración de almidones y productos derivados del almidón; molienda húmeda de maíz
153200,ELABORACIÓN DE ALMIDONES Y PRODUCTOS DERIVADOS DEL ALMIDÓN,109009,Servicios industriales para la elaboración de alimentos y bebidas n.c.p.
153300,ELABORACIÓN DE ALIMENTOS PREPARADOS PARA ANIMALES,108000,Elaboración de alimentos preparados para animales
153300,ELABORACIÓN DE ALIMENTOS PREPARADOS PARA ANIMALES,109009,Servicios industriales para la elaboración de alimentos y bebidas n.c.p.
154110,ELABORACIÓN DE GALLETITAS Y BIZCOCHOS,107110,Elaboración de galletitas y bizcochos
154110,ELABORACIÓN DE GALLETITAS Y BIZCOCHOS,109009,Servicios industriales para la elaboración de alimentos y bebidas n.c.p.
154120,"ELABORACIÓN INDUSTRIAL DE PRODUCTOS DE PANADERÍA, EXCLUIDO GALLETITAS YBIZCOCHOS",107121,"Elaboración industrial de productos de panadería, excepto galletitas y bizcochos"
154120,"ELABORACIÓN INDUSTRIAL DE PRODUCTOS DE PANADERÍA, EXCLUIDO GALLETITAS YBIZCOCHOS",109009,Servicios industriales para la elaboración de alimentos y bebidas n.c.p.
154190,ELABORACIÓN ARTESANAL DE PRODUCTOS DE PANADERÍA N.C.P.,107129,Elaboración de productos de panadería n.c.p.
154190,ELABORACIÓN ARTESANAL DE PRODUCTOS DE PANADERÍA N.C.P.,109009,Servicios industriales para la elaboración de alimentos y bebidas n.c.p.
154200,ELABORACIÓN DE AZÚCAR,107200,Elaboración de azúcar
154200,ELABORACIÓN DE AZÚCAR,109009,Servicios industriales para la elaboración de alimentos y bebidas n.c.p.
154300,ELABORACIÓN DE CACAO Y CHOCOLATE Y DE PRODUCTOS DE CONFITERÍA,107301,Elaboración de cacao y chocolate
